name,latitude,longitude,Unnamed: 3,geometry
Bar Nine,40.7657167,-73.98755,,"{'location': {'lat': 40.7657167, 'lng': -73.98755}, 'viewport': {'northeast': {'lat': 40.76702008029151, 'lng': -73.9861190697085}, 'southwest': {'lat': 40.76432211970851, 'lng': -73.98881703029151}}}"
Alfie's Kitchen & Craft Beer Bar,40.7653757,-73.98725309999999,,"{'location': {'lat': 40.7653757, 'lng': -73.98725309999999}, 'viewport': {'northeast': {'lat': 40.7667545802915, 'lng': -73.98606306970849}, 'southwest': {'lat': 40.76405661970851, 'lng': -73.9887610302915}}}"
Briciola,40.7638785,-73.98821,,"{'location': {'lat': 40.7638785, 'lng': -73.98821}, 'viewport': {'northeast': {'lat': 40.76528838029149, 'lng': -73.9868645697085}, 'southwest': {'lat': 40.76259041970849, 'lng': -73.98956253029152}}}"
Boxers HK,40.7633868,-73.98926709999999,,"{'location': {'lat': 40.7633868, 'lng': -73.98926709999999}, 'viewport': {'northeast': {'lat': 40.7647872302915, 'lng': -73.98772561970848}, 'southwest': {'lat': 40.7620892697085, 'lng': -73.9904235802915}}}"
Hibernia Bar,40.76377480000001,-73.9893261,,"{'location': {'lat': 40.76377480000001, 'lng': -73.9893261}, 'viewport': {'northeast': {'lat': 40.7650542802915, 'lng': -73.98793711970849}, 'southwest': {'lat': 40.7623563197085, 'lng': -73.99063508029151}}}"
Gossip,40.7633552,-73.989384,,"{'location': {'lat': 40.7633552, 'lng': -73.989384}, 'viewport': {'northeast': {'lat': 40.7646446302915, 'lng': -73.98791946970849}, 'southwest': {'lat': 40.7619466697085, 'lng': -73.9906174302915}}}"
Valhalla NYC,40.7659887,-73.9874078,,"{'location': {'lat': 40.7659887, 'lng': -73.9874078}, 'viewport': {'northeast': {'lat': 40.76737543029149, 'lng': -73.98600471970849}, 'southwest': {'lat': 40.7646774697085, 'lng': -73.9887026802915}}}"
Atlas Social Club,40.76403029999999,-73.98877519999999,,"{'location': {'lat': 40.76403029999999, 'lng': -73.98877519999999}, 'viewport': {'northeast': {'lat': 40.7653338802915, 'lng': -73.9873448697085}, 'southwest': {'lat': 40.7626359197085, 'lng': -73.9900428302915}}}"
Industry Bar,40.7644059,-73.9869612,,"{'location': {'lat': 40.7644059, 'lng': -73.9869612}, 'viewport': {'northeast': {'lat': 40.7657146802915, 'lng': -73.98564211970849}, 'southwest': {'lat': 40.7630167197085, 'lng': -73.98834008029151}}}"
Jasper's Taphouse & Kitchen,40.7643036,-73.9886324,,"{'location': {'lat': 40.7643036, 'lng': -73.9886324}, 'viewport': {'northeast': {'lat': 40.7656102802915, 'lng': -73.98726041970849}, 'southwest': {'lat': 40.7629123197085, 'lng': -73.98995838029151}}}"
B Side Pizza Bar,40.7638785,-73.98821,,"{'location': {'lat': 40.7638785, 'lng': -73.98821}, 'viewport': {'northeast': {'lat': 40.7652931302915, 'lng': -73.9867950197085}, 'southwest': {'lat': 40.7625951697085, 'lng': -73.98949298029152}}}"
Hell's Kitchen Restaurant,40.7638866,-73.9884587,,"{'location': {'lat': 40.7638866, 'lng': -73.9884587}, 'viewport': {'northeast': {'lat': 40.7652848802915, 'lng': -73.9872020197085}, 'southwest': {'lat': 40.7625869197085, 'lng': -73.98989998029151}}}"
Bombay Grill House,40.7641852,-73.9881293,,"{'location': {'lat': 40.7641852, 'lng': -73.9881293}, 'viewport': {'northeast': {'lat': 40.7655783302915, 'lng': -73.98691316970849}, 'southwest': {'lat': 40.7628803697085, 'lng': -73.98961113029151}}}"
McCoys,40.764333,-73.98812410000001,,"{'location': {'lat': 40.764333, 'lng': -73.98812410000001}, 'viewport': {'northeast': {'lat': 40.76572188029149, 'lng': -73.98685871970851}, 'southwest': {'lat': 40.76302391970849, 'lng': -73.98955668029151}}}"
